age,gender,department,jobrole,monthlyincome,yearsatcompany,experience_group,overtime,attrition,attrition_flag
55,Male,Research & Development,Manufacturing Director,10976,3,3-5 years,No,No,0
28,Female,Research & Development,Research Scientist,3660,8,6-10 years,No,No,0
44,Male,Human Resources,Human Resources,10482,20,10+ years,No,Yes,1
33,Male,Research & Development,Healthcare Representative,7119,3,3-5 years,No,No,0
35,Male,Sales,Sales Executive,9582,8,6-10 years,Yes,Yes,1
33,Female,Research & Development,Research Scientist,4508,13,10+ years,No,Yes,1
28,Male,Research & Development,Laboratory Technician,2207,4,3-5 years,No,No,0
34,Male,Research & Development,Healthcare Representative,7756,6,6-10 years,No,No,0
37,Female,Sales,Sales Executive,6694,1,0-2 years,Yes,No,0
25,Male,Research & Development,Laboratory Technician,3691,7,6-10 years,Yes,Yes,1
26,Male,Research & Development,Laboratory Technician,2377,1,0-2 years,No,Yes,1
33,Male,Research & Development,Research Scientist,2313,2,0-2 years,Yes,Yes,1
42,Male,Research & Development,Manager,17665,22,10+ years,No,No,0
28,Male,Research & Development,Laboratory Technician,2596,1,0-2 years,No,Yes,1
50,Male,Sales,Sales Executive,4728,0,,Yes,Yes,1
33,Female,Sales,Sales Executive,4302,3,3-5 years,No,No,0
34,Male,Research & Development,Research Scientist,2979,0,,No,No,0
48,Male,Research & Development,Manager,16885,5,3-5 years,No,No,0
45,Female,Sales,Sales Executive,5593,15,10+ years,No,No,0
52,Male,Research & Development,Healthcare Representative,10445,8,6-10 years,No,No,0
38,Male,Sales,Sales Executive,8740,8,6-10 years,Yes,No,0
29,Female,Research & Development,Research Scientist,2514,7,6-10 years,No,No,0
28,Female,Research & Development,Manufacturing Director,7655,9,6-10 years,No,No,0
46,Male,Sales,Manager,17465,12,10+ years,No,No,0
38,Male,Sales,Sales Executive,7351,1,0-2 years,No,No,0
43,Female,Research & Development,Manufacturing Director,10820,8,6-10 years,No,No,0
39,Male,Research & Development,Healthcare Representative,12169,18,10+ years,No,Yes,1
40,Male,Research & Development,Research Director,19626,20,10+ years,No,No,0
21,Female,Research & Development,Research Scientist,2070,2,0-2 years,Yes,No,0
39,Male,Research & Development,Laboratory Technician,6782,5,3-5 years,No,No,0
36,Male,Research & Development,Manufacturing Director,7779,11,10+ years,No,No,0
31,Male,Sales,Sales Representative,2791,2,0-2 years,No,No,0
28,Male,Research & Development,Research Scientist,3201,5,3-5 years,No,No,0
35,Male,Sales,Sales Executive,4968,5,3-5 years,No,No,0
49,Male,Sales,Sales Executive,13120,9,6-10 years,No,No,0
34,Male,Research & Development,Manufacturing Director,4033,3,3-5 years,No,No,0
29,Female,Research & Development,Research Scientist,3291,7,6-10 years,No,No,0
42,Male,Research & Development,Laboratory Technician,4272,1,0-2 years,No,No,0
29,Male,Research & Development,Manufacturing Director,5056,10,6-10 years,Yes,No,0
38,Male,Human Resources,Human Resources,2844,7,6-10 years,No,No,0
28,Male,Research & Development,Research Scientist,2703,3,3-5 years,Yes,No,0
18,Male,Research & Development,Laboratory Technician,1904,0,,No,Yes,1
33,Female,Sales,Sales Executive,8224,5,3-5 years,Yes,Yes,1
41,Male,Research & Development,Laboratory Technician,4766,1,0-2 years,Yes,No,0
31,Male,Research & Development,Laboratory Technician,2610,2,0-2 years,No,Yes,1
37,Female,Research & Development,Healthcare Representative,5731,6,6-10 years,No,No,0
27,Male,Research & Development,Research Scientist,2539,4,3-5 years,No,No,0
34,Female,Sales,Sales Executive,5714,6,6-10 years,No,No,0
35,Male,Human Resources,Human Resources,4323,5,3-5 years,No,No,0
29,Female,Sales,Sales Executive,7336,11,10+ years,No,Yes,1
40,Female,Research & Development,Research Director,13499,18,10+ years,No,No,0
42,Male,Sales,Sales Executive,13758,21,10+ years,Yes,Yes,1
42,Male,Sales,Sales Executive,5155,6,6-10 years,No,No,0
35,Male,Research & Development,Laboratory Technician,2258,8,6-10 years,No,No,0
24,Male,Research & Development,Laboratory Technician,3597,4,3-5 years,No,No,0
28,Female,Research & Development,Laboratory Technician,2515,1,0-2 years,Yes,Yes,1
26,Male,Research & Development,Laboratory Technician,4420,8,6-10 years,No,No,0
30,Male,Sales,Sales Executive,6578,10,6-10 years,No,No,0
40,Female,Research & Development,Research Scientist,4422,1,0-2 years,Yes,No,0
35,Male,Research & Development,Manufacturing Director,10274,7,6-10 years,No,No,0
34,Male,Research & Development,Healthcare Representative,5343,13,10+ years,No,No,0
35,Male,Research & Development,Laboratory Technician,2376,2,0-2 years,No,No,0
43,Female,Sales,Sales Executive,5346,4,3-5 years,No,Yes,1
32,Female,Sales,Sales Representative,2827,1,0-2 years,No,No,0
56,Female,Research & Development,Manager,19943,5,3-5 years,No,No,0
29,Female,Research & Development,Laboratory Technician,3131,10,6-10 years,No,No,0
19,Male,Research & Development,Research Scientist,2552,1,0-2 years,No,No,0
45,Female,Research & Development,Research Scientist,4477,3,3-5 years,Yes,No,0
37,Female,Research & Development,Manufacturing Director,6474,14,10+ years,No,No,0
20,Male,Research & Development,Laboratory Technician,3033,2,0-2 years,No,No,0
44,Male,Research & Development,Research Scientist,2936,6,6-10 years,Yes,Yes,1
53,Female,Research & Development,Manager,18606,7,6-10 years,No,No,0
29,Female,Research & Development,Research Scientist,2168,5,3-5 years,Yes,No,0
22,Male,Research & Development,Research Scientist,2853,0,,Yes,Yes,1
46,Female,Sales,Manager,17048,26,10+ years,No,No,0
44,Male,Research & Development,Research Scientist,2290,0,,No,No,0
33,Male,Human Resources,Human Resources,3600,5,3-5 years,No,No,0
41,Male,Research & Development,Research Scientist,2107,1,0-2 years,No,Yes,1
30,Male,Sales,Sales Executive,4115,4,3-5 years,No,No,0
40,Male,Sales,Sales Executive,4327,0,,No,No,0
50,Female,Research & Development,Manager,17856,2,0-2 years,No,No,0
28,Male,Research & Development,Laboratory Technician,3196,6,6-10 years,No,No,0
46,Male,Research & Development,Research Director,19081,4,3-5 years,No,No,0
35,Male,Sales,Sales Executive,8966,7,6-10 years,Yes,No,0
24,Female,Research & Development,Laboratory Technician,2210,1,0-2 years,No,Yes,1
33,Female,Sales,Sales Executive,4539,10,6-10 years,No,No,0
36,Male,Research & Development,Laboratory Technician,2741,7,6-10 years,No,No,0
30,Male,Research & Development,Laboratory Technician,3491,10,6-10 years,No,No,0
44,Male,Research & Development,Research Scientist,4541,20,10+ years,No,No,0
20,Male,Sales,Sales Representative,2678,2,0-2 years,No,No,0
46,Male,Research & Development,Manufacturing Director,7379,6,6-10 years,No,No,0
42,Male,Human Resources,Human Resources,6272,4,3-5 years,No,No,0
60,Male,Sales,Sales Executive,5220,11,10+ years,Yes,No,0
32,Female,Research & Development,Laboratory Technician,2743,2,0-2 years,No,No,0
32,Female,Research & Development,Research Scientist,4998,8,6-10 years,Yes,No,0
36,Female,Research & Development,Manufacturing Director,10252,7,6-10 years,Yes,No,0
33,Male,Research & Development,Research Scientist,2781,14,10+ years,No,No,0
40,Female,Sales,Sales Executive,6852,5,3-5 years,No,No,0
25,Male,Sales,Sales Executive,4950,4,3-5 years,No,No,0
30,Male,Research & Development,Research Scientist,3579,11,10+ years,Yes,No,0
42,Female,Research & Development,Research Director,13191,1,0-2 years,Yes,No,0
35,Female,Sales,Sales Executive,10377,13,10+ years,Yes,No,0
27,Male,Research & Development,Research Scientist,2235,9,6-10 years,Yes,No,0
54,Female,Research & Development,Manufacturing Director,10502,5,3-5 years,No,No,0
44,Female,Research & Development,Research Scientist,2011,10,6-10 years,No,No,0
19,Female,Research & Development,Research Scientist,1859,1,0-2 years,Yes,Yes,1
29,Female,Research & Development,Research Scientist,3760,3,3-5 years,No,No,0
54,Male,Research & Development,Research Director,17779,10,6-10 years,No,No,0
31,Male,Research & Development,Healthcare Representative,6833,6,6-10 years,Yes,No,0
31,Female,Research & Development,Healthcare Representative,6812,10,6-10 years,No,No,0
59,Female,Sales,Sales Executive,5171,6,6-10 years,No,No,0
43,Male,Research & Development,Research Director,19740,8,6-10 years,No,No,0
49,Male,Research & Development,Manager,18711,1,0-2 years,No,No,0
36,Male,Research & Development,Research Scientist,3692,11,10+ years,No,No,0
48,Male,Research & Development,Laboratory Technician,2559,1,0-2 years,No,No,0
27,Male,Research & Development,Research Scientist,2517,5,3-5 years,No,No,0
29,Male,Research & Development,Healthcare Representative,6623,6,6-10 years,Yes,No,0
48,Male,Research & Development,Research Director,18265,1,0-2 years,No,No,0
29,Female,Research & Development,Research Director,16124,7,6-10 years,No,No,0
34,Female,Research & Development,Research Scientist,2585,1,0-2 years,No,No,0
44,Male,Sales,Manager,18213,22,10+ years,No,No,0
33,Male,Sales,Sales Executive,8380,9,6-10 years,Yes,No,0
19,Female,Research & Development,Research Scientist,2994,1,0-2 years,Yes,No,0
23,Male,Research & Development,Research Scientist,1223,1,0-2 years,No,No,0
25,Male,Sales,Sales Representative,1118,1,0-2 years,Yes,Yes,1
26,Male,Research & Development,Research Scientist,2875,8,6-10 years,Yes,No,0
45,Female,Sales,Manager,18824,24,10+ years,Yes,Yes,1
55,Male,Research & Development,Healthcare Representative,13577,33,10+ years,Yes,No,0
21,Female,Research & Development,Laboratory Technician,2625,2,0-2 years,No,Yes,1
46,Female,Sales,Manager,18789,11,10+ years,No,No,0
34,Female,Sales,Sales Executive,4538,3,3-5 years,Yes,No,0
51,Male,Sales,Manager,19847,29,10+ years,Yes,No,0
59,Male,Research & Development,Manufacturing Director,10512,9,6-10 years,No,No,0
34,Female,Research & Development,Laboratory Technician,4444,11,10+ years,No,No,0
28,Male,Research & Development,Laboratory Technician,2154,4,3-5 years,Yes,No,0
44,Male,Research & Development,Manager,19190,25,10+ years,No,No,0
34,Male,Human Resources,Human Resources,4490,10,6-10 years,No,No,0
35,Male,Research & Development,Research Scientist,3506,3,3-5 years,Yes,No,0
42,Female,Research & Development,Research Scientist,2372,1,0-2 years,Yes,No,0
43,Female,Sales,Sales Executive,10231,21,10+ years,No,No,0
36,Female,Research & Development,Manufacturing Director,5410,16,10+ years,Yes,No,0
44,Female,Research & Development,Healthcare Representative,7978,10,6-10 years,No,Yes,1
28,Male,Research & Development,Laboratory Technician,3867,2,0-2 years,Yes,No,0
51,Female,Research & Development,Laboratory Technician,2838,7,6-10 years,No,No,0
30,Female,Research & Development,Manufacturing Director,4695,8,6-10 years,Yes,No,0
29,Female,Research & Development,Laboratory Technician,3339,7,6-10 years,Yes,Yes,1
28,Male,Research & Development,Research Scientist,2080,3,3-5 years,No,No,0
25,Female,Research & Development,Research Scientist,2096,2,0-2 years,No,No,0
32,Male,Sales,Sales Executive,6209,10,6-10 years,No,No,0
45,Female,Research & Development,Manager,18061,0,,No,No,0
39,Female,Research & Development,Manager,17123,19,10+ years,Yes,No,0
58,Male,Research & Development,Research Scientist,2372,2,0-2 years,No,No,0
32,Male,Research & Development,Laboratory Technician,4883,10,6-10 years,No,Yes,1
39,Male,Research & Development,Research Scientist,3904,5,3-5 years,No,Yes,1
30,Female,Research & Development,Laboratory Technician,4627,9,6-10 years,No,No,0
36,Female,Research & Development,Healthcare Representative,7094,7,6-10 years,No,No,0
46,Female,Human Resources,Human Resources,3423,7,6-10 years,No,No,0
28,Female,Research & Development,Laboratory Technician,6674,9,6-10 years,No,No,0
50,Female,Research & Development,Research Director,16880,3,3-5 years,Yes,No,0
40,Male,Sales,Sales Executive,9094,5,3-5 years,Yes,Yes,1
52,Male,Sales,Sales Executive,8446,8,6-10 years,Yes,Yes,1
30,Female,Research & Development,Manager,11916,9,6-10 years,Yes,No,0
39,Male,Research & Development,Manufacturing Director,4534,8,6-10 years,No,No,0
31,Female,Sales,Sales Executive,9852,10,6-10 years,Yes,No,0
41,Male,Sales,Sales Executive,6151,19,10+ years,No,No,0
31,Female,Sales,Sales Representative,2302,3,3-5 years,Yes,Yes,1
44,Male,Research & Development,Laboratory Technician,2362,3,3-5 years,No,Yes,1
42,Male,Research & Development,Manager,17861,20,10+ years,Yes,No,0
55,Female,Research & Development,Manager,19187,19,10+ years,No,No,0
56,Male,Human Resources,Manager,19717,7,6-10 years,No,No,0
40,Male,Research & Development,Research Scientist,3544,4,3-5 years,No,No,0
34,Male,Research & Development,Healthcare Representative,8500,9,6-10 years,No,No,0
40,Male,Research & Development,Research Scientist,4661,9,6-10 years,No,No,0
41,Female,Sales,Sales Executive,4103,9,6-10 years,No,No,0
35,Male,Research & Development,Research Scientist,4249,9,6-10 years,Yes,No,0
51,Male,Human Resources,Manager,14026,33,10+ years,Yes,No,0
38,Female,Sales,Sales Executive,6893,7,6-10 years,No,No,0
34,Female,Sales,Sales Executive,6125,10,6-10 years,No,No,0
25,Male,Research & Development,Laboratory Technician,3669,3,3-5 years,No,No,0
58,Female,Research & Development,Manufacturing Director,10008,10,6-10 years,Yes,Yes,1
40,Male,Research & Development,Laboratory Technician,2387,4,3-5 years,No,No,0
36,Female,Sales,Sales Executive,4639,15,10+ years,No,No,0
48,Male,Research & Development,Manufacturing Director,7898,10,6-10 years,No,No,0
27,Female,Sales,Sales Representative,2534,1,0-2 years,No,No,0
51,Female,Research & Development,Manufacturing Director,13142,5,3-5 years,No,No,0
18,Female,Research & Development,Laboratory Technician,1611,0,,No,No,0
35,Female,Research & Development,Laboratory Technician,5363,9,6-10 years,No,No,0
27,Male,Sales,Sales Executive,5071,6,6-10 years,No,No,0
55,Male,Sales,Sales Executive,13695,19,10+ years,Yes,Yes,1
56,Male,Research & Development,Manufacturing Director,13402,19,10+ years,Yes,No,0
34,Female,Research & Development,Research Scientist,2029,5,3-5 years,No,No,0
40,Female,Research & Development,Healthcare Representative,6377,12,10+ years,No,No,0
34,Male,Research & Development,Laboratory Technician,5429,8,6-10 years,No,No,0
31,Female,Sales,Sales Representative,2785,1,0-2 years,No,Yes,1
35,Female,Sales,Sales Executive,4614,4,3-5 years,Yes,Yes,1
38,Male,Research & Development,Research Scientist,2610,4,3-5 years,No,No,0
34,Female,Research & Development,Healthcare Representative,6687,14,10+ years,No,No,0
28,Male,Sales,Sales Executive,4724,5,3-5 years,No,No,0
31,Male,Research & Development,Manufacturing Director,6179,10,6-10 years,Yes,Yes,1
39,Male,Sales,Sales Executive,6120,5,3-5 years,Yes,No,0
51,Male,Sales,Sales Executive,10596,4,3-5 years,No,No,0
41,Female,Research & Development,Research Scientist,5467,6,6-10 years,Yes,No,0
37,Male,Research & Development,Research Scientist,2996,6,6-10 years,Yes,No,0
33,Male,Sales,Sales Executive,9998,5,3-5 years,No,No,0
32,Male,Sales,Sales Executive,4078,3,3-5 years,Yes,No,0
39,Male,Research & Development,Healthcare Representative,10920,6,6-10 years,No,No,0
25,Male,Sales,Sales Executive,6232,3,3-5 years,No,No,0
52,Female,Research & Development,Manufacturing Director,13247,5,3-5 years,Yes,No,0
43,Female,Research & Development,Research Scientist,4081,20,10+ years,Yes,No,0
27,Female,Sales,Sales Executive,5769,6,6-10 years,Yes,No,0
27,Female,Research & Development,Research Scientist,2394,8,6-10 years,Yes,Yes,1
26,Male,Research & Development,Research Scientist,3904,4,3-5 years,No,No,0
42,Female,Human Resources,Manager,16799,20,10+ years,No,No,0
52,Female,Research & Development,Laboratory Technician,2950,5,3-5 years,No,No,0
37,Female,Research & Development,Laboratory Technician,3629,3,3-5 years,No,No,0
35,Male,Research & Development,Manufacturing Director,9362,2,0-2 years,No,No,0
25,Male,Research & Development,Laboratory Technician,3229,3,3-5 years,No,No,0
26,Male,Research & Development,Laboratory Technician,3578,7,6-10 years,No,No,0
29,Male,Human Resources,Human Resources,7988,10,6-10 years,No,No,0
49,Male,Research & Development,Laboratory Technician,4284,4,3-5 years,No,Yes,1
29,Female,Research & Development,Healthcare Representative,7553,8,6-10 years,Yes,Yes,1
54,Female,Research & Development,Research Director,17328,20,10+ years,No,No,0
58,Female,Research & Development,Research Director,19701,9,6-10 years,Yes,No,0
55,Male,Research & Development,Research Director,14732,7,6-10 years,No,No,0
36,Female,Sales,Sales Executive,9278,5,3-5 years,Yes,No,0
31,Female,Sales,Sales Representative,1359,1,0-2 years,No,Yes,1
30,Female,Sales,Sales Executive,4779,3,3-5 years,No,No,0
31,Female,Research & Development,Research Director,16422,3,3-5 years,No,No,0
34,Male,Research & Development,Research Scientist,2996,4,3-5 years,No,No,0
31,Female,Research & Development,Research Scientist,1261,1,0-2 years,No,Yes,1
27,Male,Research & Development,Laboratory Technician,2099,5,3-5 years,No,No,0
36,Male,Research & Development,Laboratory Technician,5810,10,6-10 years,No,No,0
36,Female,Sales,Sales Executive,5647,3,3-5 years,No,No,0
47,Male,Research & Development,Research Scientist,3420,6,6-10 years,No,No,0
25,Male,Sales,Sales Representative,4400,3,3-5 years,No,Yes,1
37,Male,Research & Development,Laboratory Technician,3500,6,6-10 years,No,No,0
56,Female,Research & Development,Research Scientist,2066,3,3-5 years,No,No,0
47,Female,Research & Development,Research Director,17169,20,10+ years,No,No,0
24,Female,Sales,Sales Executive,4162,5,3-5 years,Yes,No,0
32,Male,Sales,Sales Executive,9204,4,3-5 years,No,No,0
34,Female,Research & Development,Laboratory Technician,3294,5,3-5 years,No,No,0
41,Male,Research & Development,Research Scientist,2127,4,3-5 years,Yes,No,0
40,Male,Research & Development,Laboratory Technician,3975,8,6-10 years,No,No,0
31,Male,Sales,Sales Executive,10793,13,10+ years,No,No,0
46,Male,Sales,Sales Executive,10096,7,6-10 years,No,Yes,1
39,Female,Research & Development,Laboratory Technician,3646,1,0-2 years,Yes,Yes,1
31,Female,Research & Development,Manufacturing Director,7446,10,6-10 years,No,Yes,1
45,Male,Research & Development,Healthcare Representative,10851,7,6-10 years,Yes,No,0
31,Female,Human Resources,Human Resources,2109,3,3-5 years,No,No,0
31,Male,Research & Development,Laboratory Technician,3722,2,0-2 years,Yes,Yes,1
45,Male,Research & Development,Manufacturing Director,9380,3,3-5 years,Yes,No,0
48,Male,Sales,Sales Executive,5486,2,0-2 years,No,No,0
34,Female,Human Resources,Human Resources,2742,2,0-2 years,No,Yes,1
40,Male,Research & Development,Research Director,13757,9,6-10 years,No,No,0
28,Male,Sales,Sales Executive,8463,5,3-5 years,No,No,0
44,Male,Research & Development,Laboratory Technician,3162,5,3-5 years,No,No,0
53,Male,Research & Development,Research Director,16598,9,6-10 years,No,No,0
49,Male,Research & Development,Healthcare Representative,6651,3,3-5 years,No,No,0
40,Male,Research & Development,Research Scientist,2345,3,3-5 years,No,No,0
44,Male,Research & Development,Research Scientist,3420,5,3-5 years,No,No,0
33,Male,Sales,Sales Executive,4373,4,3-5 years,No,No,0
34,Male,Sales,Sales Executive,4759,13,10+ years,No,No,0
30,Male,Sales,Sales Executive,5301,2,0-2 years,No,No,0
42,Female,Research & Development,Laboratory Technician,3673,12,10+ years,No,No,0
44,Female,Sales,Sales Executive,4768,1,0-2 years,No,No,0
30,Male,Research & Development,Research Scientist,1274,1,0-2 years,No,No,0
57,Male,Research & Development,Research Scientist,4900,12,10+ years,No,No,0
49,Male,Research & Development,Healthcare Representative,10466,8,6-10 years,No,No,0
34,Male,Research & Development,Research Director,17007,14,10+ years,No,No,0
28,Male,Sales,Sales Representative,2909,3,3-5 years,No,Yes,1
29,Female,Sales,Sales Executive,5765,5,3-5 years,No,Yes,1
34,Female,Sales,Sales Executive,4599,15,10+ years,Yes,Yes,1
35,Male,Sales,Sales Representative,2404,1,0-2 years,No,No,0
24,Male,Research & Development,Laboratory Technician,3172,0,,Yes,Yes,1
24,Female,Sales,Sales Representative,2033,1,0-2 years,No,No,0
44,Male,Research & Development,Manufacturing Director,10209,2,0-2 years,Yes,No,0
29,Male,Sales,Sales Executive,8620,10,6-10 years,No,No,0
30,Male,Human Resources,Human Resources,2064,5,3-5 years,No,No,0
55,Male,Research & Development,Healthcare Representative,4035,3,3-5 years,Yes,No,0
33,Female,Research & Development,Laboratory Technician,3838,5,3-5 years,No,No,0
47,Female,Sales,Sales Executive,4591,5,3-5 years,Yes,No,0
28,Male,Research & Development,Laboratory Technician,2561,0,,No,Yes,1
28,Male,Research & Development,Research Scientist,1563,1,0-2 years,No,No,0
28,Male,Sales,Sales Executive,4898,4,3-5 years,No,No,0
49,Female,Research & Development,Laboratory Technician,4789,3,3-5 years,No,No,0
29,Female,Research & Development,Laboratory Technician,3180,3,3-5 years,No,No,0
28,Male,Research & Development,Manufacturing Director,6549,8,6-10 years,No,No,0
33,Male,Research & Development,Healthcare Representative,6388,0,,Yes,No,0
32,Male,Research & Development,Manager,11244,5,3-5 years,No,No,0
54,Female,Research & Development,Manager,16032,14,10+ years,No,No,0
29,Male,Research & Development,Research Scientist,2362,9,6-10 years,No,Yes,1
44,Male,Research & Development,Research Director,16328,20,10+ years,No,No,0
39,Female,Research & Development,Manufacturing Director,8376,2,0-2 years,No,No,0
46,Female,Sales,Manager,16606,13,10+ years,No,No,0
35,Female,Research & Development,Healthcare Representative,8606,11,10+ years,No,No,0
23,Male,Research & Development,Laboratory Technician,2272,4,3-5 years,No,No,0
40,Male,Research & Development,Laboratory Technician,2018,5,3-5 years,No,Yes,1
34,Male,Sales,Sales Executive,7083,10,6-10 years,Yes,No,0
31,Female,Research & Development,Research Scientist,4084,7,6-10 years,No,Yes,1
50,Male,Research & Development,Research Director,14411,32,10+ years,Yes,No,0
34,Male,Sales,Sales Representative,2308,11,10+ years,Yes,No,0
42,Male,Research & Development,Laboratory Technician,4841,1,0-2 years,No,No,0
37,Male,Research & Development,Research Scientist,4285,10,6-10 years,No,No,0
29,Female,Research & Development,Healthcare Representative,9715,7,6-10 years,No,No,0
33,Male,Research & Development,Manufacturing Director,4320,5,3-5 years,No,No,0
45,Male,Research & Development,Research Scientist,2132,5,3-5 years,No,No,0
42,Male,Research & Development,Healthcare Representative,10124,20,10+ years,Yes,No,0
40,Male,Sales,Sales Executive,5473,8,6-10 years,No,No,0
33,Male,Research & Development,Laboratory Technician,5207,15,10+ years,Yes,No,0
40,Male,Human Resources,Manager,16437,21,10+ years,Yes,No,0
24,Male,Research & Development,Laboratory Technician,2296,1,0-2 years,No,No,0
40,Male,Research & Development,Healthcare Representative,4069,2,0-2 years,Yes,No,0
45,Male,Research & Development,Healthcare Representative,7441,10,6-10 years,No,No,0
35,Female,Sales,Sales Representative,2430,5,3-5 years,No,No,0
32,Female,Research & Development,Research Scientist,5878,7,6-10 years,No,No,0
36,Male,Sales,Sales Representative,2644,3,3-5 years,Yes,No,0
48,Female,Sales,Sales Executive,6439,8,6-10 years,No,No,0
29,Male,Research & Development,Research Scientist,2451,1,0-2 years,No,No,0
33,Male,Sales,Sales Executive,6392,2,0-2 years,No,No,0
30,Male,Sales,Sales Executive,9714,10,6-10 years,No,Yes,1
38,Male,Human Resources,Human Resources,6077,6,6-10 years,No,No,0
35,Male,Research & Development,Laboratory Technician,2450,3,3-5 years,No,No,0
30,Male,Sales,Sales Executive,9250,4,3-5 years,No,No,0
35,Female,Research & Development,Laboratory Technician,2074,1,0-2 years,Yes,Yes,1
53,Female,Research & Development,Manufacturing Director,10169,33,10+ years,No,Yes,1
38,Male,Research & Development,Manufacturing Director,4855,5,3-5 years,No,Yes,1
32,Male,Research & Development,Research Scientist,4087,6,6-10 years,No,No,0
48,Female,Research & Development,Research Scientist,2367,8,6-10 years,No,No,0
34,Male,Research & Development,Research Scientist,2972,1,0-2 years,No,No,0
55,Male,Sales,Manager,19586,36,10+ years,No,No,0
34,Male,Research & Development,Research Scientist,5484,2,0-2 years,No,No,0
26,Female,Research & Development,Research Scientist,2061,1,0-2 years,No,No,0
38,Male,Sales,Sales Executive,9924,9,6-10 years,No,No,0
38,Female,Sales,Sales Executive,4198,3,3-5 years,No,No,0
36,Female,Sales,Sales Executive,6815,1,0-2 years,No,No,0
29,Male,Research & Development,Laboratory Technician,4723,10,6-10 years,Yes,No,0
35,Female,Research & Development,Healthcare Representative,6142,5,3-5 years,Yes,No,0
39,Male,Sales,Sales Executive,8237,7,6-10 years,No,No,0
29,Male,Research & Development,Healthcare Representative,8853,6,6-10 years,No,No,0
50,Male,Sales,Manager,19331,1,0-2 years,Yes,No,0
23,Male,Research & Development,Research Scientist,2073,2,0-2 years,No,No,0
36,Male,Research & Development,Laboratory Technician,5562,3,3-5 years,Yes,No,0
42,Male,Research & Development,Manager,19613,1,0-2 years,No,No,0
35,Male,Research & Development,Laboratory Technician,3407,10,6-10 years,No,No,0
34,Male,Research & Development,Healthcare Representative,5063,8,6-10 years,No,No,0
40,Female,Sales,Sales Executive,4639,5,3-5 years,No,No,0
43,Male,Research & Development,Laboratory Technician,4876,6,6-10 years,No,No,0
35,Male,Research & Development,Laboratory Technician,2690,1,0-2 years,No,No,0
46,Male,Sales,Manager,17567,26,10+ years,No,No,0
28,Male,Research & Development,Laboratory Technician,2408,1,0-2 years,Yes,Yes,1
22,Female,Research & Development,Research Scientist,2814,4,3-5 years,Yes,No,0
50,Male,Research & Development,Healthcare Representative,11245,30,10+ years,Yes,No,0
32,Female,Research & Development,Research Scientist,3312,3,3-5 years,No,No,0
44,Female,Research & Development,Research Director,19049,22,10+ years,Yes,No,0
30,Male,Research & Development,Research Scientist,2141,6,6-10 years,No,No,0
45,Female,Research & Development,Laboratory Technician,5769,10,6-10 years,Yes,No,0
45,Male,Sales,Sales Executive,4385,10,6-10 years,No,No,0
31,Male,Sales,Sales Executive,5332,5,3-5 years,No,No,0
36,Female,Research & Development,Manufacturing Director,4663,3,3-5 years,Yes,No,0
34,Male,Research & Development,Manufacturing Director,4724,9,6-10 years,No,No,0
49,Female,Research & Development,Laboratory Technician,3211,9,6-10 years,No,No,0
39,Male,Research & Development,Manufacturing Director,5377,7,6-10 years,No,No,0
27,Male,Research & Development,Laboratory Technician,4066,7,6-10 years,No,No,0
35,Male,Research & Development,Research Scientist,5208,16,10+ years,No,No,0
28,Female,Research & Development,Manufacturing Director,4877,5,3-5 years,No,No,0
21,Male,Research & Development,Research Scientist,3117,2,0-2 years,No,No,0
18,Female,Sales,Sales Representative,1569,0,,Yes,Yes,1
47,Female,Human Resources,Manager,19658,5,3-5 years,No,No,0
39,Male,Research & Development,Laboratory Technician,3069,10,6-10 years,No,No,0
40,Female,Research & Development,Manufacturing Director,10435,18,10+ years,No,No,0
35,Female,Research & Development,Healthcare Representative,4148,14,10+ years,No,No,0
37,Male,Research & Development,Manufacturing Director,5768,4,3-5 years,No,No,0
39,Female,Research & Development,Manufacturing Director,5042,9,6-10 years,No,No,0
45,Female,Research & Development,Manufacturing Director,5770,10,6-10 years,No,No,0
38,Female,Research & Development,Manufacturing Director,7756,5,3-5 years,Yes,No,0
35,Male,Sales,Sales Executive,10306,13,10+ years,No,Yes,1
37,Female,Research & Development,Research Scientist,3936,8,6-10 years,No,No,0
40,Female,Research & Development,Manufacturing Director,7945,4,3-5 years,Yes,No,0
44,Male,Human Resources,Human Resources,5743,10,6-10 years,Yes,No,0
48,Male,Research & Development,Manager,15202,2,0-2 years,No,No,0
35,Male,Sales,Sales Executive,5440,2,0-2 years,Yes,Yes,1
24,Female,Research & Development,Research Scientist,3760,6,6-10 years,Yes,No,0
27,Female,Research & Development,Research Scientist,3517,3,3-5 years,No,No,0
27,Male,Research & Development,Research Scientist,2580,4,3-5 years,No,No,0
40,Male,Research & Development,Laboratory Technician,2166,4,3-5 years,Yes,Yes,1
29,Male,Sales,Sales Executive,5869,5,3-5 years,No,No,0
36,Female,Research & Development,Healthcare Representative,8008,3,3-5 years,No,No,0
25,Male,Research & Development,Manufacturing Director,5206,7,6-10 years,No,No,0
39,Male,Research & Development,Manufacturing Director,5295,5,3-5 years,No,No,0
49,Female,Research & Development,Research Director,16413,4,3-5 years,No,No,0
50,Female,Research & Development,Research Director,13269,14,10+ years,No,No,0
20,Female,Sales,Sales Representative,2783,2,0-2 years,No,No,0
34,Female,Research & Development,Research Scientist,5433,11,10+ years,No,No,0
36,Male,Research & Development,Laboratory Technician,2013,4,3-5 years,No,No,0
